Date,Temp Avg,Humidity Avg,RR
2023-05-29,27.1,84,0.0
2023-05-30,26.7,82,0.0
2023-05-31,27.4,76,28.8
2023-06-01,26.8,76,0.0
2023-06-02,27.4,81,0.0
2023-06-03,27.7,83,0.0
2023-06-04,26.6,84,59.3
2023-06-05,26.1,86,0.3
2023-06-06,25.7,91,34.2
2023-06-07,26.7,83,0.4
2023-06-08,26.9,82,3.5
2023-06-09,26.5,81,0.0
2023-06-10,26.1,86,13.3
2023-06-11,26.8,78,0.0
2023-06-12,27.5,79,0.0
2023-06-13,26.9,84,0.0
2023-06-14,25.4,89,15.7
2023-06-15,27.2,81,16.5
2023-06-16,24.5,95,2.6
2023-06-17,25.9,86,10.1
2023-06-18,26.3,86,0.0
2023-06-19,25.7,91,73.7
2023-06-20,26.9,80,15.1
2023-06-21,26.8,84,0.0
2023-06-22,27.7,80,3.6
2023-06-23,27.2,83,14.3
2023-06-24,26.7,87,0.4
2023-06-25,25.7,86,7.0
2023-06-26,25.9,0,1.0
2023-06-27,25.9,84,0.0
2023-06-28,26.8,78,0.0
2023-06-29,26.5,85,23.5
2023-06-30,27.1,82,16.2
2023-07-01,26.6,85,0.0
2023-07-02,26.5,80,0.6
2023-07-03,26.8,81,0.0
2023-07-04,26.1,81,0.0
2023-07-05,26.7,80,0.0
2023-07-06,25.8,90,6.6
2023-07-07,24.8,90,0.0
2023-07-08,25.3,88,58.0
2023-07-09,26.0,82,20.8
2023-07-10,26.5,80,0.0
2023-07-11,26.1,80,0.0
2023-07-12,26.8,82,0.0
2023-07-13,26.6,80,43.6
2023-07-14,26.1,83,0.5
2023-07-15,27.0,79,0.0
2023-07-16,26.7,80,0.0
2023-07-17,26.7,77,4.3
2023-07-18,26.2,74,0.0
2023-07-19,26.2,72,0.0
2023-07-20,25.7,72,0.0
2023-07-21,26.7,75,0.0
2023-07-22,27.1,74,0.0
2023-07-23,26.6,80,0.0
2023-07-24,26.1,83,0.0
2023-07-25,25.8,83,0.0
2023-07-26,26.8,80,0.0
2023-07-27,26.9,78,0.0
2023-07-28,26.5,77,0.0
2023-07-29,26.5,74,0.0
2023-07-30,26.5,73,0.0
2023-07-31,0.0,0,0.0
2023-08-01,25.7,74,0.0
2023-08-02,26.9,78,0.0
2023-08-03,26.1,85,0.0
2023-08-04,26.5,82,20.4
2023-08-05,26.8,76,3.9
2023-08-06,26.6,78,0.0
2023-08-07,26.7,80,0.0
2023-08-08,27.9,74,0.0
2023-08-09,26.8,77,0.5
2023-08-10,26.7,76,0.0
2023-08-11,26.4,78,0.0
2023-08-12,25.7,74,0.0
2023-08-13,25.2,78,0.0
2023-08-14,25.9,74,0.0
2023-08-15,26.3,74,0.0
2023-08-16,26.0,74,1.7
2023-08-17,26.2,74,0.0
2023-08-18,26.4,73,0.0
2023-08-19,26.7,73,0.0
2023-08-20,27.1,76,0.0
2023-08-21,26.2,75,5.8
2023-08-22,25.6,77,0.0
2023-08-23,26.6,75,0.0
2023-08-24,27.2,74,0.0
2023-08-25,27.0,79,0.0
2023-08-26,27.1,78,0.0
2023-08-27,25.4,84,0.0
2023-08-28,25.7,81,112.4
2023-08-29,26.1,72,0.0
2023-08-30,26.0,71,0.0
2023-08-31,26.4,72,0.0
2023-09-01,26.7,68,0.0
2023-09-02,26.8,72,0.0
2023-09-03,26.4,68,0.0
2023-09-04,25.8,64,0.0
2023-09-05,25.8,66,0.0
2023-09-06,0.0,0,0.0
2023-09-07,27.1,72,0.0
2023-09-08,26.0,78,27.0
2023-09-09,26.4,77,5.6
2023-09-10,26.2,72,0.0
2023-09-11,26.3,72,0.0
2023-09-12,26.9,72,0.0
2023-09-13,27.6,72,0.0
2023-09-14,27.0,68,0.0
2023-09-15,27.0,70,0.0
2023-09-16,27.4,70,0.0
2023-09-17,27.2,74,0.0
2023-09-18,27.8,73,0.0
2023-09-19,26.8,81,0.0
2023-09-20,25.9,83,15.6
2023-09-21,26.5,81,4.2
2023-09-22,26.6,72,9.2
2023-09-23,26.7,70,0.0
2023-09-24,26.2,78,0.0
2023-09-25,26.8,73,0.6
2023-09-26,27.7,68,0.0
2023-09-27,27.1,64,0.0
2023-09-28,27.3,65,0.0
2023-09-29,27.9,64,0.0
2023-09-30,27.0,70,0.0
2023-10-01,27.2,78,25.1
2023-10-02,27.0,74,0.0
2023-10-03,27.3,72,0.2
2023-10-04,27.5,72,0.0
2023-10-05,27.8,77,0.0
2023-10-06,27.1,76,0.0
2023-10-07,27.6,77,7.0
2023-10-08,28.0,71,0.0
2023-10-09,28.2,72,0.0
2023-10-10,28.2,74,0.0
2023-10-11,28.3,73,2.5
2023-10-12,28.3,73,0.0
2023-10-13,27.7,74,0.0
2023-10-14,27.2,78,0.0
2023-10-15,28.1,74,4.2
2023-10-16,28.9,69,0.0
2023-10-17,29.3,66,1.0
2023-10-18,28.3,65,0.0
2023-10-19,27.5,70,0.0
2023-10-20,27.7,74,0.0
2023-10-21,27.1,81,0.5
2023-10-22,28.1,77,5.3
2023-10-23,27.3,70,0.0
2023-10-24,27.0,74,0.0
2023-10-25,26.3,84,2.2
2023-10-26,27.0,83,44.5
2023-10-27,27.6,80,9.6
2023-10-28,28.4,66,0.0
2023-10-29,27.8,67,0.0
2023-10-30,28.7,70,0.0
2023-10-31,26.9,81,0.0
2023-11-01,26.1,86,78.6
2023-11-02,26.9,84,68.9
2023-11-03,26.6,84,9.2
2023-11-04,26.1,87,74.2
2023-11-05,25.6,90,109.0
2023-11-06,27.8,81,14.7
2023-11-07,28.3,77,0.0
2023-11-08,27.9,80,0.0
2023-11-09,26.3,85,2.1
2023-11-10,27.4,81,72.0
2023-11-11,27.0,82,0.4
2023-11-12,26.1,85,8.3
2023-11-13,27.7,81,41.0
2023-11-14,26.5,86,19.0
2023-11-15,27.2,84,58.1
2023-11-16,26.6,84,7.7
2023-11-17,27.2,86,37.5
2023-11-18,26.9,84,39.0
2023-11-19,28.4,77,7.0
2023-11-20,28.0,80,0.0
2023-11-21,27.1,82,34.7
2023-11-22,27.4,82,68.4
2023-11-23,27.3,83,30.4
2023-11-24,26.7,87,0.0
2023-11-25,24.8,91,52.9
2023-11-26,26.3,85,1.1
2023-11-27,26.0,88,83.0
2023-11-28,26.4,85,0.0
2023-11-29,26.7,83,2.8
2023-11-30,26.1,89,148.0
2023-12-01,25.6,90,65.4
2023-12-02,27.1,83,0.0
2023-12-03,26.4,85,3.5
2023-12-04,24.9,90,55.8
2023-12-05,26.9,80,0.0
2023-12-06,26.6,85,27.5
2023-12-07,27.3,83,10.8
2023-12-08,27.0,87,27.7
2023-12-09,26.8,85,8.0
2023-12-10,27.3,83,31.4
2023-12-11,27.1,84,0.2
2023-12-12,27.5,79,31.2
2023-12-13,27.8,78,0.0
2023-12-14,28.2,73,7.1
2023-12-15,28.6,70,0.0
2023-12-16,28.2,73,0.0
2023-12-17,27.9,76,0.0
2023-12-18,28.0,75,0.0
2023-12-19,27.9,66,0.0
2023-12-20,27.3,64,0.0
2023-12-21,27.6,67,0.0
2023-12-22,28.1,70,0.0
2023-12-23,28.7,72,0.0
2023-12-24,27.6,81,0.0
2023-12-25,27.0,83,73.0
2023-12-26,26.6,84,0.0
2023-12-27,26.8,83,0.5
2023-12-28,27.1,83,3.8
2023-12-29,26.7,89,74.5
2023-12-30,25.7,92,44.7
2023-12-31,26.2,87,98.5
2024-01-01,27.5,85,16.4
2024-01-02,27.2,86,1.5
2024-01-03,26.4,90,13.7
2024-01-04,25.6,91,1.0
2024-01-05,27.2,82,5.2
2024-01-06,26.1,87,0.0
2024-01-07,25.3,90,2.8
2024-01-08,26.1,87,19.0
2024-01-09,27.5,82,3.9
2024-01-10,26.2,88,3.5
2024-01-11,25.7,92,35.0
2024-01-12,26.0,88,20.8
2024-01-13,26.4,85,0.0
2024-01-14,26.5,85,10.6
2024-01-15,27.2,82,7.0
2024-01-16,27.6,80,0.0
2024-01-17,25.5,91,0.0
2024-01-18,26.5,86,3.7
2024-01-19,23.7,94,26.9
2024-01-20,27.0,70,32.5
2024-01-21,25.9,88,0.0
2024-01-22,27.2,73,6.0
2024-01-23,26.4,81,2.6
2024-01-24,26.3,83,0.5
2024-01-25,27.9,79,19.5
2024-01-26,27.1,84,0.0
2024-01-27,25.1,94,3.7
2024-01-28,24.9,92,32.9
2024-01-29,25.5,92,65.7
2024-01-30,25.4,92,8.7
2024-01-31,25.2,90,50.7
2024-02-01,25.4,89,1.3
2024-02-02,27.2,82,24.3
2024-02-03,25.6,90,10.5
2024-02-04,26.2,86,1.7
2024-02-05,26.5,84,4.2
2024-02-06,24.6,91,1.5
2024-02-07,25.0,90,3.2
2024-02-08,27.4,78,25.0
2024-02-09,28.3,77,0.0
2024-02-10,25.4,90,0.0
2024-02-11,25.7,88,3.1
2024-02-12,27.1,83,38.7
2024-02-13,28.3,80,0.0
2024-02-14,27.3,86,10.1
2024-02-15,26.8,89,3.0
2024-02-16,26.3,91,9.0
2024-02-17,25.8,91,3.6
2024-02-18,25.9,89,14.4
2024-02-19,27.1,86,3.7
2024-02-20,27.3,84,0.0
2024-02-21,26.9,87,64.0
2024-02-22,28.2,82,0.6
2024-02-23,28.5,78,0.0
2024-02-24,27.8,83,0.0
2024-02-25,26.9,86,4.8
2024-02-26,26.9,85,0.0
2024-02-27,26.9,83,0.0
2024-02-28,26.2,89,1.1
2024-02-29,24.8,93,5.0
2024-03-01,25.7,89,3.7
2024-03-02,25.6,94,25.0
2024-03-03,25.5,91,57.0
2024-03-04,26.7,86,30.4
2024-03-05,26.9,88,0.7
2024-03-06,26.6,87,0.8
2024-03-07,26.6,88,40.2
2024-03-08,26.1,88,65.2
2024-03-09,25.0,91,18.8
2024-03-10,26.9,88,4.0
2024-03-11,26.4,90,2.0
2024-03-12,26.4,86,10.7
2024-03-13,26.2,91,10.2
2024-03-14,25.0,92,27.3
2024-03-15,24.8,90,38.6
2024-03-16,25.2,89,13.9
2024-03-17,24.9,91,6.9
2024-03-18,26.7,82,9.0
2024-03-19,27.2,71,0.0
2024-03-20,27.1,72,0.0
2024-03-21,27.8,78,0.0
2024-03-22,26.9,83,0.0
2024-03-23,28.4,79,0.0
2024-03-24,27.4,84,3.3
2024-03-25,26.4,88,134.0
2024-03-26,26.6,86,27.8
2024-03-27,25.5,90,42.8
2024-03-28,27.0,82,1.1
2024-03-29,26.3,86,5.9
2024-03-30,26.9,89,72.5
2024-03-31,26.9,88,71.4
2024-04-01,26.5,87,39.0
2024-04-02,27.5,87,20.8
2024-04-03,26.5,90,37.5
2024-04-04,27.8,84,7.1
2024-04-05,28.5,78,1.3
2024-04-06,28.0,83,0.0
2024-04-07,28.0,77,0.0
2024-04-08,28.1,78,70.5
2024-04-09,27.3,83,0.0
2024-04-10,27.5,82,0.0
2024-04-11,27.8,83,0.2
2024-04-12,25.7,92,20.1
2024-04-13,27.4,83,20.2
2024-04-14,26.7,88,40.9
2024-04-15,28.1,83,27.2
2024-04-16,28.6,80,0.0
2024-04-17,27.1,85,0.8
2024-04-18,26.8,86,42.1
2024-04-19,26.3,89,52.5
2024-04-20,27.9,81,24.4
2024-04-21,26.4,91,0.0
2024-04-22,28.0,82,1.0
2024-04-23,26.6,89,31.9
2024-04-24,27.2,88,73.0
2024-04-25,26.4,89,31.0
2024-04-26,27.1,87,71.9
2024-04-27,27.2,85,0.8
2024-04-28,27.5,86,0.0
2024-04-29,28.8,82,4.0
2024-04-30,27.9,84,0.1
2024-05-01,27.4,90,86.7
2024-05-02,27.3,88,17.5
2024-05-03,27.3,86,17.8
2024-05-04,26.4,87,27.5
2024-05-05,27.7,79,9.2
2024-05-06,27.5,79,0.0
2024-05-07,28.3,78,0.0
2024-05-08,27.5,81,0.0
2024-05-09,28.2,79,2.0
2024-05-10,28.9,77,0.1
2024-05-11,27.4,84,0.0
2024-05-12,28.6,78,1.6
2024-05-13,27.6,83,0.0
2024-05-14,26.6,88,31.5
2024-05-15,28.7,75,0.9
2024-05-16,26.8,86,0.8
2024-05-17,26.9,85,109.3
2024-05-18,27.2,83,8.7
2024-05-19,26.8,88,38.8
2024-05-20,27.4,83,32.7
2024-05-21,27.9,83,0.0
2024-05-22,28.2,81,2.2
2024-05-23,27.0,87,0.0
2024-05-24,26.2,89,0.3
2024-05-25,25.6,93,146.6
2024-05-26,27.6,84,2.5
2024-05-27,27.8,80,0.0
2024-05-28,28.3,81,2.3
2024-05-29,28.5,79,0.0
2024-05-30,27.8,80,0.0
2024-05-31,27.7,82,11.6
2024-06-01,26.4,89,0.2
2024-06-02,27.4,86,23.3
2024-06-03,26.3,91,9.8
2024-06-04,27.0,83,16.5
2024-06-05,27.7,79,0.8
2024-06-06,28.2,76,0.0
2024-06-07,27.5,77,0.0
2024-06-08,27.7,79,0.0
2024-06-09,26.8,82,0.0
2024-06-10,27.8,80,1.0
2024-06-11,26.3,87,18.8
2024-06-12,25.9,86,11.2
2024-06-13,27.4,84,32.5
2024-06-14,27.0,84,0.6
2024-06-15,27.5,83,35.0
2024-06-16,26.7,90,0.5
2024-06-17,27.6,83,24.0
2024-06-18,26.4,85,0.0
2024-06-19,27.6,78,0.0
2024-06-20,27.5,72,0.0
2024-06-21,27.1,79,0.0
2024-06-22,27.1,78,0.6
2024-06-23,27.4,72,0.0
2024-06-24,28.0,75,0.0
2024-06-25,26.1,83,0.0
2024-06-26,27.6,78,5.6
2024-06-27,26.9,84,0.0
2024-06-28,27.2,84,4.8
2024-06-29,25.0,90,0.5
2024-06-30,27.4,81,38.2
2024-07-01,26.5,86,0.0
2024-07-02,26.4,86,12.3
2024-07-03,25.6,85,0.0
2024-07-04,25.2,89,2.0
2024-07-05,26.2,85,28.6
2024-07-06,23.4,94,3.4
2024-07-07,26.4,84,39.3
2024-07-08,0.0,0,0.0
2024-07-09,26.6,80,46.4
2024-07-10,26.2,82,0.0
2024-07-11,25.8,84,0.0
2024-07-12,26.7,73,2.0
2024-07-13,24.9,78,0.0
2024-07-14,25.2,77,0.0
2024-07-15,25.2,73,0.0
2024-07-16,25.8,76,0.0
2024-07-17,26.1,79,0.0
2024-07-18,26.7,80,0.2
2024-07-19,26.8,78,1.0
2024-07-20,26.7,77,0.0
2024-07-21,26.5,78,3.0
2024-07-22,26.8,76,0.0
2024-07-23,26.4,74,0.0
2024-07-24,26.1,74,0.0
2024-07-25,27.0,75,0.0
2024-07-26,27.1,77,0.2
2024-07-27,28.1,73,0.0
2024-07-28,27.1,75,0.0
2024-07-29,27.1,71,0.0
2024-07-30,27.3,74,0.0
2024-07-31,27.3,73,0.0
2024-08-01,25.9,85,0.0
2024-08-02,25.1,86,48.8
2024-08-03,26.0,86,38.0
2024-08-04,26.4,82,11.7
2024-08-05,26.4,79,0.0
2024-08-06,26.8,79,0.0
2024-08-07,26.4,78,0.0
2024-08-08,26.7,77,0.0
2024-08-09,27.4,76,0.0
2024-08-10,27.7,76,0.0
2024-08-11,27.7,76,0.2
2024-08-12,26.9,65,0.8
2024-08-13,26.7,71,0.0
2024-08-14,27.0,71,0.0
2024-08-15,27.1,75,0.0
2024-08-16,26.7,75,0.0
2024-08-17,25.3,83,0.0
2024-08-18,27.7,75,0.4
2024-08-19,25.4,83,0.0
2024-08-20,27.5,76,0.0
2024-08-21,27.7,76,0.0
2024-08-22,27.1,76,0.0
2024-08-23,27.0,83,1.0
2024-08-24,25.5,82,5.0
2024-08-25,26.8,74,13.2
2024-08-26,27.0,77,0.0
2024-08-27,27.0,78,0.0
2024-08-28,26.5,74,0.0
2024-08-29,27.0,78,0.5
2024-08-30,26.7,76,0.2
2024-08-31,27.0,75,2.9
2024-09-01,27.7,75,0.0
2024-09-02,27.5,79,0.0
2024-09-03,26.6,80,31.5
2024-09-04,27.6,71,0.0
2024-09-05,26.4,82,0.2
2024-09-06,27.4,76,10.7
2024-09-07,27.7,74,0.0
2024-09-08,27.8,75,0.0
2024-09-09,25.3,88,0.0
2024-09-10,25.1,89,44.4
2024-09-11,26.4,83,83.6
2024-09-12,26.1,83,0.0
2024-09-13,26.2,86,84.2
2024-09-14,26.7,78,0.2
2024-09-15,26.9,73,0.0
2024-09-16,26.5,75,0.0
2024-09-17,26.4,67,0.0
2024-09-18,26.4,70,0.0
2024-09-19,27.1,70,0.0
2024-09-20,27.2,73,0.0
2024-09-21,27.1,74,0.0
2024-09-22,28.2,76,0.0
2024-09-23,27.7,82,20.4
2024-09-24,25.9,90,1.5
2024-09-25,26.3,81,1.7
2024-09-26,25.8,84,56.9
2024-09-27,26.6,81,4.5
2024-09-28,27.0,82,8.6
2024-09-29,26.4,85,43.0
2024-09-30,27.3,77,11.3
2024-10-01,27.2,77,0.0
2024-10-02,28.2,78,0.0
2024-10-03,27.0,85,22.0
2024-10-04,25.7,86,0.0
2024-10-05,25.6,88,89.8
2024-10-06,27.2,81,84.5
2024-10-07,27.4,74,0.0
2024-10-08,26.6,80,0.0
2024-10-09,27.2,82,1.2
2024-10-10,27.1,79,3.5
2024-10-11,27.5,79,14.2
2024-10-12,28.3,77,0.0
2024-10-13,27.0,84,0.0
2024-10-14,26.0,88,65.7
2024-10-15,25.8,89,60.3
2024-10-16,26.9,78,105.6
2024-10-17,26.2,67,0.0
2024-10-18,27.1,71,0.0
2024-10-19,27.6,74,0.0
2024-10-20,27.8,71,0.0
2024-10-21,27.6,69,0.0
2024-10-22,27.1,73,0.0
2024-10-23,28.7,75,0.0
2024-10-24,28.8,75,0.0
2024-10-25,28.2,79,8.3
2024-10-26,28.1,72,0.0
2024-10-27,28.2,75,0.0
2024-10-28,27.5,80,3.5
2024-10-29,27.2,83,13.3
2024-10-30,27.2,82,11.5
2024-10-31,26.2,85,10.2
2024-11-01,27.1,80,17.0
2024-11-02,27.0,82,0.0
2024-11-03,26.2,83,34.4
2024-11-04,26.4,82,29.2
2024-11-05,26.4,86,7.6
2024-11-06,26.7,80,60.5
2024-11-07,26.1,84,0.0
2024-11-08,27.8,80,70.6
2024-11-09,26.9,84,0.0
2024-11-10,26.4,84,0.0
2024-11-11,25.4,90,21.5
2024-11-12,26.4,86,86.7
2024-11-13,27.8,77,0.1
2024-11-14,27.5,84,0.0
2024-11-15,27.5,84,59.6
2024-11-16,26.0,93,10.4
2024-11-17,26.4,87,14.7
2024-11-18,26.1,89,14.7
2024-11-19,26.7,83,14.4
2024-11-20,26.6,83,59.7
2024-11-21,27.1,85,24.1
2024-11-22,26.7,88,15.8
2024-11-23,26.8,85,6.6
2024-11-24,26.6,88,3.7
2024-11-25,27.2,84,11.5
2024-11-26,27.5,81,0.7
2024-11-27,25.3,93,44.3
2024-11-28,26.2,86,72.1
2024-11-29,26.9,81,0.5
2024-11-30,27.6,79,0.0
2024-12-01,28.1,77,1.2
2024-12-02,26.4,86,0.8
2024-12-03,26.0,85,15.8
2024-12-04,25.0,91,1.5
2024-12-05,25.1,90,3.9
2024-12-06,25.5,91,11.7
2024-12-07,26.9,88,0.1
2024-12-08,27.0,86,8.7
2024-12-09,24.8,96,2.2
2024-12-10,25.5,88,26.1
2024-12-11,27.1,77,27.7
2024-12-12,27.4,72,10.7
2024-12-13,28.0,73,0.0
2024-12-14,25.7,87,8.1
2024-12-15,25.8,84,4.3
2024-12-16,24.8,94,0.5
2024-12-17,26.8,84,20.0
2024-12-18,25.5,90,0.0
2024-12-19,24.9,91,5.3
2024-12-20,25.2,91,18.1
2024-12-21,26.4,88,14.8
2024-12-22,25.6,93,10.9
2024-12-23,25.7,89,13.5
2024-12-24,25.5,88,9.9
2024-12-25,25.8,90,1.1
2024-12-26,26.6,81,14.0
2024-12-27,26.4,84,0.0
2024-12-28,27.4,77,0.0
2024-12-29,27.5,76,0.0
2024-12-30,25.8,81,0.6
2024-12-31,27.1,77,0.5
2025-01-01,26.3,83,0.0
2025-01-02,27.1,77,5.2
2025-01-03,27.0,80,0.0
2025-01-04,26.7,83,0.0
2025-01-05,27.2,78,1.6
2025-01-06,26.6,80,0.0
2025-01-07,26.4,85,25.2
2025-01-08,27.0,85,0.0
2025-01-09,25.5,91,27.0
2025-01-10,26.7,86,2.0
2025-01-11,26.2,87,1.0
2025-01-12,26.6,80,7.0
2025-01-13,26.3,84,0.0
2025-01-14,25.0,93,0.0
2025-01-15,26.7,84,16.4
2025-01-16,25.8,89,0.0
2025-01-17,26.3,89,2.6
2025-01-18,25.9,85,14.6
2025-01-19,25.6,87,3.4
2025-01-20,25.4,89,57.8
2025-01-21,25.5,93,5.2
2025-01-22,25.6,87,21.4
2025-01-23,25.4,87,0.4
2025-01-24,24.4,96,4.1
2025-01-25,25.7,87,28.6
2025-01-26,26.1,84,2.0
2025-01-27,26.1,85,0.0
2025-01-28,23.7,96,3.0
2025-01-29,25.3,88,21.6
2025-01-30,25.4,86,28.3
2025-01-31,26.4,87,6.7
2025-02-01,26.3,90,9.3
2025-02-02,26.7,87,1.6
2025-02-03,26.8,88,0.0
2025-02-04,25.7,88,0.0
2025-02-05,26.9,77,3.4
2025-02-06,26.1,89,12.1
2025-02-07,26.5,88,1.1
2025-02-08,25.1,89,3.2
2025-02-09,26.2,88,0.0
2025-02-10,26.8,88,2.4
2025-02-11,27.2,84,0.0
2025-02-12,26.9,78,0.0
2025-02-13,27.4,80,0.0
2025-02-14,26.8,83,0.0
2025-02-15,26.2,87,0.4
2025-02-16,26.2,85,0.2
2025-02-17,25.0,90,0.0
2025-02-18,25.9,86,1.2
2025-02-19,26.1,88,3.0
2025-02-20,25.3,86,5.8
2025-02-21,26.5,84,6.0
2025-02-22,25.9,88,0.0
2025-02-23,25.3,90,1.0
2025-02-24,25.4,89,1.7
2025-02-25,25.9,88,45.1
2025-02-26,25.4,92,5.5
2025-02-27,25.5,89,4.7
2025-02-28,25.8,89,41.0
2025-03-01,26.3,85,19.6
2025-03-02,26.3,89,0.0
2025-03-03,26.3,89,74.2
2025-03-04,25.6,90,53.8
2025-03-05,26.9,81,0.2
2025-03-06,26.1,86,0.0
2025-03-07,26.5,85,41.8
2025-03-08,26.2,87,0.0
2025-03-09,25.9,89,11.7
2025-03-10,24.6,91,7.4
2025-03-11,26.6,84,0.2
2025-03-12,27.1,85,26.0
2025-03-13,26.9,88,0.0
2025-03-14,25.7,89,46.4
2025-03-15,25.2,91,7.2
2025-03-16,26.5,83,6.5
2025-03-17,25.0,94,0.0
2025-03-18,26.2,89,130.4
2025-03-19,26.3,81,5.2
2025-03-20,27.1,81,0.0
2025-03-21,27.4,80,0.0
2025-03-22,26.9,87,0.0
2025-03-23,26.9,82,0.5
2025-03-24,26.1,84,0.0
2025-03-25,25.6,86,4.1
2025-03-26,25.5,92,0.0
2025-03-27,25.4,90,1.6
2025-03-28,26.2,88,3.4
2025-03-29,26.2,85,6.4
2025-03-30,27.2,84,0.2
2025-03-31,26.8,85,0.0
